c1	c2	num
Afghanistan	China	485
Afghanistan	Germany	0
Afghanistan	India	7
Afghanistan	Iran	4898
Afghanistan	Pakistan	14213
Afghanistan	Saudi Arabia	0
Afghanistan	Tajikistan	7213
Afghanistan	Turkmenistan	4274
Afghanistan	Uzbekistan	765
Akrotiri	Cyprus	16
Albania	Afghanistan	0
Albania	Algeria	0
Albania	Armenia	0
Albania	Austria	1
Albania	Azerbaijan	0
Albania	Bangladesh	0
Albania	Belarus	0
Albania	Belgium	0
Albania	Belize	0
Albania	Bosnia and Herzegovina	0
Albania	Brazil	0
Albania	Bulgaria	2
Albania	Canada	0
Albania	Cayman Islands	1
Albania	China	9
Albania	Colombia	0
Albania	Congo, Republic of the	0
Albania	Cote d'Ivoire	0
Albania	Croatia	0
Albania	Cyprus	0
Albania	Czech Republic	1
Albania	Denmark	0
Albania	Djibouti	0
Albania	Ecuador	0
Albania	Egypt	0
Albania	Equatorial Guinea	0
Albania	Estonia	0
Albania	Ethiopia	0
Albania	Finland	0
Albania	France	4
Albania	Gabon	0
Albania	Georgia	0
Albania	Germany	8
Albania	Ghana	0
Albania	Greece	933
Albania	Guatemala	0
Albania	Hong Kong	0
Albania	Hungary	0
Albania	India	0
Albania	Indonesia	0
Albania	Iran	0
Albania	Iraq	0
Albania	Ireland	0
Albania	Israel	0
Albania	Italy	93
Albania	Japan	0
Albania	Jordan	0
Albania	Kazakhstan	0
Albania	Korea, South	0
Albania	Kosovo	490
Albania	Latvia	0
Albania	Lebanon	0
Albania	Libya	1
Albania	Lithuania	0
Albania	Luxembourg	0
Albania	Macau	0
Albania	Macedonia	795
Albania	Malawi	0
Albania	Malaysia	0
Albania	Malta	13
Albania	Mauritania	0
Albania	Mexico	0
Albania	Moldova	0
Albania	Montenegro	816
Albania	Morocco	0
Albania	Nepal	0
Albania	Netherlands	1
Albania	Nigeria	0
Albania	Norway	0
Albania	Pakistan	0
Albania	Peru	0
Albania	Philippines	0
Albania	Poland	0
Albania	Portugal	0
Albania	Qatar	0
Albania	Romania	0
Albania	Russia	0
Albania	Saint Vincent and the Grenadines	0
Albania	Saudi Arabia	0
Albania	Senegal	0
Albania	Serbia	15
Albania	Seychelles	0
Albania	Sierra Leone	0
Albania	Singapore	0
Albania	Slovakia	0
Albania	Slovenia	1
Albania	South Africa	0
Albania	Spain	20
Albania	Sri Lanka	0
Albania	Sweden	0
Albania	Switzerland	4
Albania	Tajikistan	0
Albania	Thailand	0
Albania	Tunisia	0
Albania	Turkey	7
Albania	Turkmenistan	0
Albania	Ukraine	0
Albania	United Arab Emirates	0
Albania	United Kingdom	1
Albania	United States	1
Albania	Vietnam	0
Albania	Yemen	0
Algeria	Albania	2
Algeria	Angola	0
Algeria	Australia	7
Algeria	Austria	3
Algeria	Bahamas, The	1
Algeria	Bahrain	0
Algeria	Bangladesh	0
Algeria	Belgium	183
Algeria	Benin	0
Algeria	Bolivia	0
Algeria	Brazil	238
Algeria	Bulgaria	0
Algeria	Burkina Faso	0
Algeria	Burundi	0
Algeria	Cabo Verde	0
Algeria	Cambodia	0
Algeria	Cameroon	0
Algeria	Canada	273
Algeria	Chad	0
Algeria	Chile	0
Algeria	China	195
Algeria	Colombia	0
Algeria	Congo, Democratic Republic of the	0
Algeria	Congo, Republic of the	0
Algeria	Costa Rica	0
Algeria	Cote d'Ivoire	0
Algeria	Croatia	1
Algeria	Cuba	21
Algeria	Cyprus	0
Algeria	Czech Republic	0
Algeria	Denmark	0
Algeria	Djibouti	0
Algeria	Egypt	58
Algeria	Equatorial Guinea	0
Algeria	Finland	7
Algeria	France	607
Algeria	Gabon	0
Algeria	Gambia, The	0
Algeria	Germany	2
Algeria	Ghana	1
Algeria	Greece	35
Algeria	Guatemala	0
Algeria	Guinea	2
Algeria	Haiti	0
Algeria	Honduras	0
Algeria	Hong Kong	0
Algeria	Hungary	0
Algeria	Iceland	0
Algeria	India	73
Algeria	Indonesia	31
Algeria	Iran	0
Algeria	Iraq	4
Algeria	Ireland	16
Algeria	Italy	807
Algeria	Japan	93
Algeria	Jordan	1
Algeria	Kenya	0
Algeria	Korea, South	50
Algeria	Kuwait	1
Algeria	Lebanon	5
Algeria	Liberia	0
Algeria	Libya	5702
Algeria	Lithuania	0
Algeria	Luxembourg	0
Algeria	Madagascar	0
Algeria	Malaysia	7
Algeria	Mali	7833
Algeria	Malta	26
Algeria	Mauritania	2654
Algeria	Mexico	4
Algeria	Morocco	11045
Algeria	Mozambique	0
Algeria	Nepal	0
Algeria	Netherlands	432
Algeria	New Zealand	0
