[-13.712222,9.509167] Guinea
[-9.429499000000002,6.428055] Libera
[-11.779889,8.460555] Sierra Leone
[-8,12.65] Mali
[-5.283333,6.816667] Cote'divore
[-15.6, 11.866667] Guinea-Bissau
[-14.452362, 14.497401] Senegal
[37.616667, 55.75] Russia
[-3.74922, 40.46366700000001] spain
[-0.1275,51.507351] GB
[7.45, 46.95] Switzerland
[-95.712891, 37.09024] USA
[13.404954, 52.520007] Germany

[-78.35,-0.15] Ecuador
[116.383333, 39.916667] China
[2.352222,48.856614] France
[46.766667, 24.65] Saudi arabia
[12.496366,41.902783] Italy
[139.6917,35.689506] Japan
[4.351710, 50.85] Belgium
[4.35, 50.85] Belgium
[7.483333, 9.066667] Nigeria
[-78.35, -0.15] Ecuador
[51.516667, 25.3] Qatar

[4.883333, 52.366667] Netherlands
