week,AH1,AH3,A_untyped,B,total_tested,percent_positive
40,1,0,12,2,518,2.9
41,0,2,8,0,529,1.89
42,1,0,16,1,612,2.94
43,0,0,15,2,656,2.59
44,1,0,24,5,746,4.02
45,0,2,10,3,578,2.6
46,1,1,15,0,666,2.55
47,0,0,18,5,617,3.73
48,0,3,17,2,636,3.46
49,0,0,17,6,806,2.85
50,1,1,1,4,686,1.02
51,8,3,0,11,904,2.43
52,3,0,45,17,1037,6.27
53,8,5,41,18,1230,5.85
54,4,13,66,18,1164,8.68
55,17,32,97,18,1291,12.7
56,29,46,183,43,1545,19.48
57,33,133,598,83,3194,26.52
58,64,293,726,112,3651,32.73
59,45,271,780,157,3752,33.4
60,56,354,735,254,4159,33.64
61,33,238,537,234,3401,30.64
62,16,194,362,202,3001,25.79
63,6,75,166,151,1923,20.7
64,21,119,115,114,1903,19.39
65,2,32,48,126,1157,17.98
66,1,1,44,72,925,12.76
67,0,4,25,40,842,8.19
68,0,3,31,28,681,9.1
69,0,0,18,15,569,5.8
70,1,1,19,17,526,7.22
71,0,0,2,3,371,1.35
72,0,0,1,4,296,1.69
