Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,899,"Areas, nes",,TOTAL,All commodities,1,No Quantity,,,123030,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,879,"Western Asia, nes",,TOTAL,All commodities,1,No Quantity,,,1157811,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,841,USA (before 1981),USA,TOTAL,All commodities,1,No Quantity,,,970139,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,837,Bunkers,,TOTAL,All commodities,1,No Quantity,,,1114454,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,826,United Kingdom,GBR,TOTAL,All commodities,1,No Quantity,,,2526221,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,764,Thailand,THA,TOTAL,All commodities,1,No Quantity,,,753,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,757,Switzerland,CHE,TOTAL,All commodities,1,No Quantity,,,1029,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,752,Sweden,SWE,TOTAL,All commodities,1,No Quantity,,,140150,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,724,Spain,ESP,TOTAL,All commodities,1,No Quantity,,,457906,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,711,So. African Customs Union,ZAF,TOTAL,All commodities,1,No Quantity,,,552144,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,702,Singapore,SGP,TOTAL,All commodities,1,No Quantity,,,4793489,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,636,"Rest of America, nes",,TOTAL,All commodities,1,No Quantity,,,10307,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,620,Portugal,PRT,TOTAL,All commodities,1,No Quantity,,,12267,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,616,Poland,POL,TOTAL,All commodities,1,No Quantity,,,4605,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,608,Philippines,PHL,TOTAL,All commodities,1,No Quantity,,,14954431,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,579,Norway,NOR,TOTAL,All commodities,1,No Quantity,,,55307,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,554,New Zealand,NZL,TOTAL,All commodities,1,No Quantity,,,86202,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,528,Netherlands,NLD,TOTAL,All commodities,1,No Quantity,,,421697,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,490,"Other Asia, nes",,TOTAL,All commodities,1,No Quantity,,,1824446,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,459,Peninsula Malaysia,,TOTAL,All commodities,1,No Quantity,,,56342,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,457,Sarawak,,TOTAL,All commodities,1,No Quantity,,,1656125,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,392,Japan,JPN,TOTAL,All commodities,1,No Quantity,,,48454421,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,381,Italy,ITA,TOTAL,All commodities,1,No Quantity,,,1008841,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,360,Indonesia,IDN,TOTAL,All commodities,1,No Quantity,,,279053,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,356,"India, excl. Sikkim",IND,TOTAL,All commodities,1,No Quantity,,,4296,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,344,"China, Hong Kong SAR",HKG,TOTAL,All commodities,1,No Quantity,,,3922041,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,280,Fmr Fed. Rep. of Germany,DEU,TOTAL,All commodities,1,No Quantity,,,728703,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,251,France,FRA,TOTAL,All commodities,1,No Quantity,,,497620,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,246,Finland,FIN,TOTAL,All commodities,1,No Quantity,,,15739,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,221,"Eastern Europe, nes",,TOTAL,All commodities,1,No Quantity,,,73949,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,208,Denmark,DNK,TOTAL,All commodities,1,No Quantity,,,237281,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,156,China,CHN,TOTAL,All commodities,1,No Quantity,,,549458,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,79687,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,96,Brunei Darussalam,BRN,TOTAL,All commodities,1,No Quantity,,,824619,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,58,Belgium-Luxembourg,BEL,TOTAL,All commodities,1,No Quantity,,,45226,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,2098031,0
S1,1963,1963,1963,0,0,2,Export,461,Sabah,,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,89737820,0
S1,1963,1963,1963,0,0,2,Export,459,Peninsula Malaysia,,899,"Areas, nes",,TOTAL,All commodities,1,No Quantity,,,380035,0
S1,1963,1963,1963,0,0,2,Export,459,Peninsula Malaysia,,890,Fmr Yugoslavia,YUG,TOTAL,All commodities,1,No Quantity,,,21243872,0
