Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,249496672,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,26907,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,52,Barbados,BRB,TOTAL,All commodities,1,No Quantity,,,18716,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,60,Bermuda,BMU,TOTAL,All commodities,1,No Quantity,,,1064,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,68,Bolivia (Plurinational State of),BOL,TOTAL,All commodities,1,No Quantity,,,90987,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,61375,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,84,Belize,BLZ,TOTAL,All commodities,1,No Quantity,,,32000,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,4226628,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,152,Chile,CHL,TOTAL,All commodities,1,No Quantity,,,308639,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,170,Colombia,COL,TOTAL,All commodities,1,No Quantity,,,5075329,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,188,Costa Rica,CRI,TOTAL,All commodities,1,No Quantity,,,10146691,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,192,Cuba,CUB,TOTAL,All commodities,1,No Quantity,,,74913,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,212,Dominica,DMA,TOTAL,All commodities,1,No Quantity,,,12261,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,214,Dominican Rep.,DOM,TOTAL,All commodities,1,No Quantity,,,7634717,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,218,Ecuador,ECU,TOTAL,All commodities,1,No Quantity,,,865542,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,222,El Salvador,SLV,TOTAL,All commodities,1,No Quantity,,,3329868,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,251,France,FRA,TOTAL,All commodities,1,No Quantity,,,147824,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,254,French Guiana,GUF,TOTAL,All commodities,1,No Quantity,,,16000,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,280,Fmr Fed. Rep. of Germany,DEU,TOTAL,All commodities,1,No Quantity,,,19556440,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,312,Guadeloupe,GLP,TOTAL,All commodities,1,No Quantity,,,69765,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,320,Guatemala,GTM,TOTAL,All commodities,1,No Quantity,,,3850116,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,328,Guyana,GUY,TOTAL,All commodities,1,No Quantity,,,1906,0
S1,1977,1977,1977,0,0,2,Export,590,"Fmr Panama, excl.Canal Zone",PAN,332,Haiti,HTI,TOTAL,All commodities,1,No Quantity,,,64291,0
