Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,1273560704,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,28,Antigua and Barbuda,ATG,TOTAL,All commodities,1,No Quantity,,,185554,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,10622229,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,4570559,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,44,Bahamas,BHS,TOTAL,All commodities,1,No Quantity,,,27908352,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,52,Barbados,BRB,TOTAL,All commodities,1,No Quantity,,,21313896,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,58,Belgium-Luxembourg,BEL,TOTAL,All commodities,1,No Quantity,,,320551,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,60,Bermuda,BMU,TOTAL,All commodities,1,No Quantity,,,8357226,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,52254480,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,34995580,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,129,"Caribbean, nes",,TOTAL,All commodities,1,No Quantity,,,2232222,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,136,Cayman Isds,CYM,TOTAL,All commodities,1,No Quantity,,,3582780,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,152,Chile,CHL,TOTAL,All commodities,1,No Quantity,,,40451140,0
S1,1987,1987,1987,0,0,2,Export,532,Neth. Antilles and Aruba,ANT,170,Colombia,COL,TOTAL,All commodities,1,No Quantity,,,18602770,0
