Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,133056696,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,44,Bahamas,BHS,TOTAL,All commodities,1,No Quantity,,,940,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,58,Belgium-Luxembourg,BEL,TOTAL,All commodities,1,No Quantity,,,5019011,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,166434,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,1998,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,208,Denmark,DNK,TOTAL,All commodities,1,No Quantity,,,158197,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,214,Dominican Rep.,DOM,TOTAL,All commodities,1,No Quantity,,,5354,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,251,France,FRA,TOTAL,All commodities,1,No Quantity,,,96353960,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,266,Gabon,GAB,TOTAL,All commodities,1,No Quantity,,,302878,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,276,Germany,DEU,TOTAL,All commodities,1,No Quantity,,,964831,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,312,Guadeloupe,GLP,TOTAL,All commodities,1,No Quantity,,,13305414,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,328,Guyana,GUY,TOTAL,All commodities,1,No Quantity,,,5994,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,381,Italy,ITA,TOTAL,All commodities,1,No Quantity,,,4179837,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,450,Madagascar,MDG,TOTAL,All commodities,1,No Quantity,,,599,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,474,Martinique,MTQ,TOTAL,All commodities,1,No Quantity,,,7126965,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,528,Netherlands,NLD,TOTAL,All commodities,1,No Quantity,,,566207,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,579,Norway,NOR,TOTAL,All commodities,1,No Quantity,,,15985,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,591,Panama,PAN,TOTAL,All commodities,1,No Quantity,,,45962,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,638,Réunion,REU,TOTAL,All commodities,1,No Quantity,,,9990,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,711,So. African Customs Union,ZAF,TOTAL,All commodities,1,No Quantity,,,82089,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,724,Spain,ESP,TOTAL,All commodities,1,No Quantity,,,2622714,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,740,Suriname,SUR,TOTAL,All commodities,1,No Quantity,,,317835,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,757,Switzerland,CHE,TOTAL,All commodities,1,No Quantity,,,1198,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,780,Trinidad and Tobago,TTO,TOTAL,All commodities,1,No Quantity,,,2997,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,788,Tunisia,TUN,TOTAL,All commodities,1,No Quantity,,,40110,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,826,United Kingdom,GBR,TOTAL,All commodities,1,No Quantity,,,96852,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,842,USA,USA,TOTAL,All commodities,1,No Quantity,,,1657904,0
S1,1995,1995,1995,0,0,2,Export,254,French Guiana,GUF,899,"Areas, nes",,TOTAL,All commodities,1,No Quantity,,,4443,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,161860960,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,28,Antigua and Barbuda,ATG,TOTAL,All commodities,1,No Quantity,,,72192,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,604,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,40,Austria,AUT,TOTAL,All commodities,1,No Quantity,,,881513,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,44,Bahamas,BHS,TOTAL,All commodities,1,No Quantity,,,7050505,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,52,Barbados,BRB,TOTAL,All commodities,1,No Quantity,,,2772,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,58,Belgium-Luxembourg,BEL,TOTAL,All commodities,1,No Quantity,,,4365821,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,34041,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,120,Cameroon,CMR,TOTAL,All commodities,1,No Quantity,,,2716,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,708924,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,170,Colombia,COL,TOTAL,All commodities,1,No Quantity,,,184925,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,192,Cuba,CUB,TOTAL,All commodities,1,No Quantity,,,344590,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,208,Denmark,DNK,TOTAL,All commodities,1,No Quantity,,,1544,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,212,Dominica,DMA,TOTAL,All commodities,1,No Quantity,,,309670,0
S1,1995,1995,1995,0,0,2,Export,312,Guadeloupe,GLP,214,Dominican Rep.,DOM,TOTAL,All commodities,1,No Quantity,,,40648,0
