Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,899,"Areas, nes",,TOTAL,All commodities,1,No Quantity,,,38042356,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,891,Serbia and Montenegro,SCG,TOTAL,All commodities,1,No Quantity,,,161185,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,860,Uzbekistan,UZB,TOTAL,All commodities,1,No Quantity,,,5951027,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,842,USA,USA,TOTAL,All commodities,1,No Quantity,,,13432635,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,818,Egypt,EGY,TOTAL,All commodities,1,No Quantity,,,73143,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,804,Ukraine,UKR,TOTAL,All commodities,1,No Quantity,,,164885696,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,796,Turks and Caicos Isds,TCA,TOTAL,All commodities,1,No Quantity,,,60671,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,792,Turkey,TUR,TOTAL,All commodities,1,No Quantity,,,185996240,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,784,United Arab Emirates,ARE,TOTAL,All commodities,1,No Quantity,,,61373456,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,764,Thailand,THA,TOTAL,All commodities,1,No Quantity,,,415785,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,762,Tajikistan,TJK,TOTAL,All commodities,1,No Quantity,,,29114264,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,757,Switzerland,CHE,TOTAL,All commodities,1,No Quantity,,,91871872,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,752,Sweden,SWE,TOTAL,All commodities,1,No Quantity,,,221313,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,703,Slovakia,SVK,TOTAL,All commodities,1,No Quantity,,,2023331,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,702,Singapore,SGP,TOTAL,All commodities,1,No Quantity,,,1994232,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,699,India,IND,TOTAL,All commodities,1,No Quantity,,,437415,0
S1,2000,2000,2000,0,0,2,Export,795,Turkmenistan,TKM,690,Seychelles,SYC,TOTAL,All commodities,1,No Quantity,,,4407746,0
