Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,8153835469,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,4,Afghanistan,AFG,TOTAL,All commodities,1,No Quantity,,,59573,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,12,Algeria,DZA,TOTAL,All commodities,1,No Quantity,,,1365917,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,111101,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,92666,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,48,Bahrain,BHR,TOTAL,All commodities,1,No Quantity,,,150870,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,50,Bangladesh,BGD,TOTAL,All commodities,1,No Quantity,,,1744207,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,51,Armenia,ARM,TOTAL,All commodities,1,No Quantity,,,3300,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,56,Belgium,BEL,TOTAL,All commodities,1,No Quantity,,,1945564,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,15600,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,148049,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,140,Central African Rep.,CAF,TOTAL,All commodities,1,No Quantity,,,149789,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,148,Chad,TCD,TOTAL,All commodities,1,No Quantity,,,3375,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,156,China,CHN,TOTAL,All commodities,1,No Quantity,,,6323168259,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,218,Ecuador,ECU,TOTAL,All commodities,1,No Quantity,,,86137,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,222,El Salvador,SLV,TOTAL,All commodities,1,No Quantity,,,15600,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,231,Ethiopia,ETH,TOTAL,All commodities,1,No Quantity,,,282277500,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,232,Eritrea,ERI,TOTAL,All commodities,1,No Quantity,,,18842000,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,246,Finland,FIN,TOTAL,All commodities,1,No Quantity,,,384850,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,251,France,FRA,TOTAL,All commodities,1,No Quantity,,,34165390,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,266,Gabon,GAB,TOTAL,All commodities,1,No Quantity,,,2500,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,276,Germany,DEU,TOTAL,All commodities,1,No Quantity,,,15866021,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,300,Greece,GRC,TOTAL,All commodities,1,No Quantity,,,5999750,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,316,Guam,GUM,TOTAL,All commodities,1,No Quantity,,,2000,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,320,Guatemala,GTM,TOTAL,All commodities,1,No Quantity,,,86300,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,340,Honduras,HND,TOTAL,All commodities,1,No Quantity,,,12000,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,344,"China, Hong Kong SAR",HKG,TOTAL,All commodities,1,No Quantity,,,88000,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,360,Indonesia,IDN,TOTAL,All commodities,1,No Quantity,,,56889407,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,364,Iran,IRN,TOTAL,All commodities,1,No Quantity,,,4216,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,368,Iraq,IRQ,TOTAL,All commodities,1,No Quantity,,,25669278,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,372,Ireland,IRL,TOTAL,All commodities,1,No Quantity,,,40,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,381,Italy,ITA,TOTAL,All commodities,1,No Quantity,,,162539196,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,392,Japan,JPN,TOTAL,All commodities,1,No Quantity,,,315298480,0
S1,2011,2011,2011,0,0,2,Export,736,Fmr Sudan,SDN,398,Kazakhstan,KAZ,TOTAL,All commodities,1,No Quantity,,,25235,0
