Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,10453101909,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,8,Albania,ALB,TOTAL,All commodities,1,No Quantity,,,15608,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,12,Algeria,DZA,TOTAL,All commodities,1,No Quantity,,,194488,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,24,Angola,AGO,TOTAL,All commodities,1,No Quantity,,,891371421,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,31,Azerbaijan,AZE,TOTAL,All commodities,1,No Quantity,,,31859,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,204423,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,820302121,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,44,Bahamas,BHS,TOTAL,All commodities,1,No Quantity,,,39889752,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,50,Bangladesh,BGD,TOTAL,All commodities,1,No Quantity,,,16214,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,56,Belgium,BEL,TOTAL,All commodities,1,No Quantity,,,32318086,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,2512822,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,100,Bulgaria,BGR,TOTAL,All commodities,1,No Quantity,,,19413,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,120,Cameroon,CMR,TOTAL,All commodities,1,No Quantity,,,218713635,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,195941196,0
S1,2013,2013,2013,0,0,2,Export,178,Congo,COG,132,Cabo Verde,CPV,TOTAL,All commodities,1,No Quantity,,,6809,0
