Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,0,World,WLD,TOTAL,All commodities,1,No Quantity,,,374203603553,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,4,Afghanistan,AFG,TOTAL,All commodities,1,No Quantity,,,78122,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,8,Albania,ALB,TOTAL,All commodities,1,No Quantity,,,1405763,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,12,Algeria,DZA,TOTAL,All commodities,1,No Quantity,,,146469117,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,20,Andorra,AND,TOTAL,All commodities,1,No Quantity,,,5380,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,24,Angola,AGO,TOTAL,All commodities,1,No Quantity,,,69013568,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,28,Antigua and Barbuda,ATG,TOTAL,All commodities,1,No Quantity,,,2466741,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,31,Azerbaijan,AZE,TOTAL,All commodities,1,No Quantity,,,1621820,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,32,Argentina,ARG,TOTAL,All commodities,1,No Quantity,,,1965926144,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,36,Australia,AUS,TOTAL,All commodities,1,No Quantity,,,988260089,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,40,Austria,AUT,TOTAL,All commodities,1,No Quantity,,,102219422,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,44,Bahamas,BHS,TOTAL,All commodities,1,No Quantity,,,12491235,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,48,Bahrain,BHR,TOTAL,All commodities,1,No Quantity,,,14816481,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,50,Bangladesh,BGD,TOTAL,All commodities,1,No Quantity,,,2190587,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,51,Armenia,ARM,TOTAL,All commodities,1,No Quantity,,,1184862,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,52,Barbados,BRB,TOTAL,All commodities,1,No Quantity,,,12895138,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,56,Belgium,BEL,TOTAL,All commodities,1,No Quantity,,,1054023271,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,60,Bermuda,BMU,TOTAL,All commodities,1,No Quantity,,,2683708,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,68,Bolivia (Plurinational State of),BOL,TOTAL,All commodities,1,No Quantity,,,199455841,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,70,Bosnia Herzegovina,BIH,TOTAL,All commodities,1,No Quantity,,,948819,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,72,Botswana,BWA,TOTAL,All commodities,1,No Quantity,,,533425,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,76,Brazil,BRA,TOTAL,All commodities,1,No Quantity,,,5386641946,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,84,Belize,BLZ,TOTAL,All commodities,1,No Quantity,,,146445430,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,92,Br. Virgin Isds,VGB,TOTAL,All commodities,1,No Quantity,,,2201552,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,96,Brunei Darussalam,BRN,TOTAL,All commodities,1,No Quantity,,,5029648,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,100,Bulgaria,BGR,TOTAL,All commodities,1,No Quantity,,,4421994,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,104,Myanmar,MMR,TOTAL,All commodities,1,No Quantity,,,1626698,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,108,Burundi,BDI,TOTAL,All commodities,1,No Quantity,,,63,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,112,Belarus,BLR,TOTAL,All commodities,1,No Quantity,,,3149588,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,116,Cambodia,KHM,TOTAL,All commodities,1,No Quantity,,,602210,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,120,Cameroon,CMR,TOTAL,All commodities,1,No Quantity,,,5091427,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,124,Canada,CAN,TOTAL,All commodities,1,No Quantity,,,9946253465,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,136,Cayman Isds,CYM,TOTAL,All commodities,1,No Quantity,,,3012792,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,140,Central African Rep.,CAF,TOTAL,All commodities,1,No Quantity,,,512856,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,144,Sri Lanka,LKA,TOTAL,All commodities,1,No Quantity,,,7749418,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,148,Chad,TCD,TOTAL,All commodities,1,No Quantity,,,66330,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,152,Chile,CHL,TOTAL,All commodities,1,No Quantity,,,2084671660,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,156,China,CHN,TOTAL,All commodities,1,No Quantity,,,6467140917,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,170,Colombia,COL,TOTAL,All commodities,1,No Quantity,,,4735412309,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,174,Comoros,COM,TOTAL,All commodities,1,No Quantity,,,65925,0
S1,2013,2013,2013,0,0,2,Export,484,Mexico,MEX,178,Congo,COG,TOTAL,All commodities,1,No Quantity,,,8693121,0
